assembly_accession,bioproject,biosample,wgs_master,excluded_from_refseq,refseq_category,relation_to_type_material,taxid,species_taxid,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,local_filename,local_fna,filename,is_synecho,proteins_path,genes_path,checkm_completeness,checkm_contamination,quality_filter,classification,fastani_reference,fastani_reference_radius,fastani_taxonomy,fastani_ani,fastani_af,closest_placement_reference,closest_placement_taxonomy,closest_placement_ani,closest_placement_af,pplacer_taxonomy,classification_method,note,"other_related_references(genome_id,species_name,radius,ANI,AF)",aa_percent,translation_table,red_value,warnings,gtdb_domain,gtdb_phylum,gtdb_class,gtdb_order,gtdb_family,gtdb_genus,gtdb_species,gc,megabases,organism_name,infraspecific_name,new_genus,new_species,new_strain,label,protein_filename,gtt_label
GCA_000634855.1,PRJNA239872,SAMN02671347,JFMA00000000.1,derived from single cell,na,,1471476,1471476,scB243_495N4,latest,Contig,Major,Full,2014/04/22,De novo assembly of single-cell genomes,Massachusetts Institute of Technology,GCF_000634855.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/634/855/GCA_000634855.1_De_novo_assembly_of_single-cell_genomes,./genbank/bacteria/GCA_000634855.1/GCA_000634855.1_De_novo_assembly_of_single-cell_genomes_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_000634855.1_De_novo_assembly_of_single-cell_genomes_genomic.fna,GCA_000634855.1_De_novo_assembly_of_single-cell_genomes,False,..//ncbi/processing/prodigal_proteins/GCA_000634855.1_De_novo_assembly_of_single-cell_genomes_genomic_prodigal_proteins.faa,../data/ncbi/processing/prodigal_genes/GCA_000634855.1_De_novo_assembly_of_single-cell_genomes_genomic_prodigal_genes.fna,62.77,1.27,True,,,,,,,,,,,,,,,,,,,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_A,Prochlorococcus_A sp000635495,0.31361,1.192256,Prochlorococcus sp. scB243_495N4,,Prochlorococcus_A,Prochlorococcus_A sp000635495,,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_sp._scB243_495N4_Prochlorococcus_A_sp000635495,GCA_000634855.1_De_novo_assembly_of_single-cell_genomes_genomic_prodigal_proteins.faa,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_sp._scB243_495N4_Prochlorococcus_A_sp000635495 # GCA_000634855.1
GCA_000634875.1,PRJNA239872,SAMN02671348,JFMB00000000.1,derived from single cell,na,,1471477,1471477,scB243_495P20,latest,Contig,Major,Full,2014/04/22,De novo assembly of single-cell genomes,Massachusetts Institute of Technology,GCF_000634875.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/634/875/GCA_000634875.1_De_novo_assembly_of_single-cell_genomes,./genbank/bacteria/GCA_000634875.1/GCA_000634875.1_De_novo_assembly_of_single-cell_genomes_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_000634875.1_De_novo_assembly_of_single-cell_genomes_genomic.fna,GCA_000634875.1_De_novo_assembly_of_single-cell_genomes,False,..//ncbi/processing/prodigal_proteins/GCA_000634875.1_De_novo_assembly_of_single-cell_genomes_genomic_prodigal_proteins.faa,../data/ncbi/processing/prodigal_genes/GCA_000634875.1_De_novo_assembly_of_single-cell_genomes_genomic_prodigal_genes.fna,62.77,0.82,True,,,,,,,,,,,,,,,,,,,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_A,Prochlorococcus_A sp000635495,0.31332,0.986037,Prochlorococcus sp. scB243_495P20,,Prochlorococcus_A,Prochlorococcus_A sp000635495,,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_sp._scB243_495P20_Prochlorococcus_A_sp000635495,GCA_000634875.1_De_novo_assembly_of_single-cell_genomes_genomic_prodigal_proteins.faa,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_sp._scB243_495P20_Prochlorococcus_A_sp000635495 # GCA_000634875.1
GCA_000634255.1,PRJNA239872,SAMN02671349,JFMC00000000.1,derived from single cell,na,,1471478,1471478,scB243_496A2,latest,Contig,Major,Full,2014/04/22,De novo assembly of single-cell genomes,Massachusetts Institute of Technology,GCF_000634255.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/634/255/GCA_000634255.1_De_novo_assembly_of_single-cell_genomes,./genbank/bacteria/GCA_000634255.1/GCA_000634255.1_De_novo_assembly_of_single-cell_genomes_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_000634255.1_De_novo_assembly_of_single-cell_genomes_genomic.fna,GCA_000634255.1_De_novo_assembly_of_single-cell_genomes,False,..//ncbi/processing/prodigal_proteins/GCA_000634255.1_De_novo_assembly_of_single-cell_genomes_genomic_prodigal_proteins.faa,../data/ncbi/processing/prodigal_genes/GCA_000634255.1_De_novo_assembly_of_single-cell_genomes_genomic_prodigal_genes.fna,91.71,2.17,True,,,,,,,,,,,,,,,,,,,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_A,Prochlorococcus_A sp000634215,0.31445,1.439938,Prochlorococcus sp. scB243_496A2,,Prochlorococcus_A,Prochlorococcus_A sp000634215,,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_sp._scB243_496A2_Prochlorococcus_A_sp000634215,GCA_000634255.1_De_novo_assembly_of_single-cell_genomes_genomic_prodigal_proteins.faa,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_sp._scB243_496A2_Prochlorococcus_A_sp000634215 # GCA_000634255.1
GCA_000634895.1,PRJNA239872,SAMN02671350,JFMD00000000.1,derived from single cell,na,,1471479,1471479,scB243_496E10,latest,Contig,Major,Full,2014/04/22,De novo assembly of single-cell genomes,Massachusetts Institute of Technology,GCF_000634895.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/634/895/GCA_000634895.1_De_novo_assembly_of_single-cell_genomes,./genbank/bacteria/GCA_000634895.1/GCA_000634895.1_De_novo_assembly_of_single-cell_genomes_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_000634895.1_De_novo_assembly_of_single-cell_genomes_genomic.fna,GCA_000634895.1_De_novo_assembly_of_single-cell_genomes,False,..//ncbi/processing/prodigal_proteins/GCA_000634895.1_De_novo_assembly_of_single-cell_genomes_genomic_prodigal_proteins.faa,../data/ncbi/processing/prodigal_genes/GCA_000634895.1_De_novo_assembly_of_single-cell_genomes_genomic_prodigal_genes.fna,65.07,0.33,True,,,,,,,,,,,,,,,,,,,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_A,Prochlorococcus_A sp000635495,0.31343000000000004,1.0978290000000002,Prochlorococcus sp. scB243_496E10,,Prochlorococcus_A,Prochlorococcus_A sp000635495,,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_sp._scB243_496E10_Prochlorococcus_A_sp000635495,GCA_000634895.1_De_novo_assembly_of_single-cell_genomes_genomic_prodigal_proteins.faa,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_sp._scB243_496E10_Prochlorococcus_A_sp000635495 # GCA_000634895.1
GCA_000634915.1,PRJNA239872,SAMN02671351,JFME00000000.1,derived from single cell,na,,1471480,1471480,scB243_496G15,latest,Contig,Major,Full,2014/04/22,De novo assembly of single-cell genomes,Massachusetts Institute of Technology,GCF_000634915.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/634/915/GCA_000634915.1_De_novo_assembly_of_single-cell_genomes,./genbank/bacteria/GCA_000634915.1/GCA_000634915.1_De_novo_assembly_of_single-cell_genomes_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_000634915.1_De_novo_assembly_of_single-cell_genomes_genomic.fna,GCA_000634915.1_De_novo_assembly_of_single-cell_genomes,False,..//ncbi/processing/prodigal_proteins/GCA_000634915.1_De_novo_assembly_of_single-cell_genomes_genomic_prodigal_proteins.faa,../data/ncbi/processing/prodigal_genes/GCA_000634915.1_De_novo_assembly_of_single-cell_genomes_genomic_prodigal_genes.fna,81.7,2.17,True,,,,,,,,,,,,,,,,,,,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_A,Prochlorococcus_A sp000635495,0.31189,1.378315,Prochlorococcus sp. scB243_496G15,,Prochlorococcus_A,Prochlorococcus_A sp000635495,,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_sp._scB243_496G15_Prochlorococcus_A_sp000635495,GCA_000634915.1_De_novo_assembly_of_single-cell_genomes_genomic_prodigal_proteins.faa,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_sp._scB243_496G15_Prochlorococcus_A_sp000635495 # GCA_000634915.1
GCA_000635535.1,PRJNA239872,SAMN02671352,JFMF00000000.1,derived from single cell,na,,1471481,1471481,scB243_496M6,latest,Scaffold,Major,Full,2014/04/22,De novo assembly of single-cell genomes,Massachusetts Institute of Technology,GCF_000635535.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/635/535/GCA_000635535.1_De_novo_assembly_of_single-cell_genomes,./genbank/bacteria/GCA_000635535.1/GCA_000635535.1_De_novo_assembly_of_single-cell_genomes_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_000635535.1_De_novo_assembly_of_single-cell_genomes_genomic.fna,GCA_000635535.1_De_novo_assembly_of_single-cell_genomes,False,..//ncbi/processing/prodigal_proteins/GCA_000635535.1_De_novo_assembly_of_single-cell_genomes_genomic_prodigal_proteins.faa,../data/ncbi/processing/prodigal_genes/GCA_000635535.1_De_novo_assembly_of_single-cell_genomes_genomic_prodigal_genes.fna,58.92,1.22,True,,,,,,,,,,,,,,,,,,,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_A,Prochlorococcus_A sp000635535,0.31325,0.97741,Prochlorococcus sp. scB243_496M6,,Prochlorococcus_A,Prochlorococcus_A sp000635535,,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_sp._scB243_496M6_Prochlorococcus_A_sp000635535,GCA_000635535.1_De_novo_assembly_of_single-cell_genomes_genomic_prodigal_proteins.faa,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_sp._scB243_496M6_Prochlorococcus_A_sp000635535 # GCA_000635535.1
GCA_000635555.1,PRJNA239872,SAMN02671353,JFMG00000000.1,derived from single cell,na,,1471482,1471482,scB243_496N4,latest,Contig,Major,Full,2014/04/22,De novo assembly of single-cell genomes,Massachusetts Institute of Technology,GCF_000635555.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/635/555/GCA_000635555.1_De_novo_assembly_of_single-cell_genomes,./genbank/bacteria/GCA_000635555.1/GCA_000635555.1_De_novo_assembly_of_single-cell_genomes_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_000635555.1_De_novo_assembly_of_single-cell_genomes_genomic.fna,GCA_000635555.1_De_novo_assembly_of_single-cell_genomes,False,..//ncbi/processing/prodigal_proteins/GCA_000635555.1_De_novo_assembly_of_single-cell_genomes_genomic_prodigal_proteins.faa,../data/ncbi/processing/prodigal_genes/GCA_000635555.1_De_novo_assembly_of_single-cell_genomes_genomic_prodigal_genes.fna,90.76,0.95,True,,,,,,,,,,,,,,,,,,,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_A,Prochlorococcus_A sp000635495,0.31441,1.453964,Prochlorococcus sp. scB243_496N4,,Prochlorococcus_A,Prochlorococcus_A sp000635495,,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_sp._scB243_496N4_Prochlorococcus_A_sp000635495,GCA_000635555.1_De_novo_assembly_of_single-cell_genomes_genomic_prodigal_proteins.faa,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_sp._scB243_496N4_Prochlorococcus_A_sp000635495 # GCA_000635555.1
GCA_000634935.1,PRJNA239872,SAMN02671355,JFMI00000000.1,derived from single cell,na,,1471484,1471484,scB243_497I20,latest,Contig,Major,Full,2014/04/22,De novo assembly of single-cell genomes,Massachusetts Institute of Technology,GCF_000634935.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/634/935/GCA_000634935.1_De_novo_assembly_of_single-cell_genomes,./genbank/bacteria/GCA_000634935.1/GCA_000634935.1_De_novo_assembly_of_single-cell_genomes_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_000634935.1_De_novo_assembly_of_single-cell_genomes_genomic.fna,GCA_000634935.1_De_novo_assembly_of_single-cell_genomes,False,..//ncbi/processing/prodigal_proteins/GCA_000634935.1_De_novo_assembly_of_single-cell_genomes_genomic_prodigal_proteins.faa,../data/ncbi/processing/prodigal_genes/GCA_000634935.1_De_novo_assembly_of_single-cell_genomes_genomic_prodigal_genes.fna,71.42,0.66,True,,,,,,,,,,,,,,,,,,,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_A,Prochlorococcus_A sp000635495,0.31561,1.020798,Prochlorococcus sp. scB243_497I20,,Prochlorococcus_A,Prochlorococcus_A sp000635495,,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_sp._scB243_497I20_Prochlorococcus_A_sp000635495,GCA_000634935.1_De_novo_assembly_of_single-cell_genomes_genomic_prodigal_proteins.faa,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_sp._scB243_497I20_Prochlorococcus_A_sp000635495 # GCA_000634935.1
GCA_000634275.1,PRJNA239872,SAMN02671356,JFMJ00000000.1,derived from single cell,na,,1471485,1471485,scB243_497J18,latest,Contig,Major,Full,2014/04/22,De novo assembly of single-cell genomes,Massachusetts Institute of Technology,GCF_000634275.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/634/275/GCA_000634275.1_De_novo_assembly_of_single-cell_genomes,./genbank/bacteria/GCA_000634275.1/GCA_000634275.1_De_novo_assembly_of_single-cell_genomes_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_000634275.1_De_novo_assembly_of_single-cell_genomes_genomic.fna,GCA_000634275.1_De_novo_assembly_of_single-cell_genomes,False,..//ncbi/processing/prodigal_proteins/GCA_000634275.1_De_novo_assembly_of_single-cell_genomes_genomic_prodigal_proteins.faa,../data/ncbi/processing/prodigal_genes/GCA_000634275.1_De_novo_assembly_of_single-cell_genomes_genomic_prodigal_genes.fna,82.7,1.14,True,,,,,,,,,,,,,,,,,,,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_A,Prochlorococcus_A sp000634215,0.31325,1.401752,Prochlorococcus sp. scB243_497J18,,Prochlorococcus_A,Prochlorococcus_A sp000634215,,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_sp._scB243_497J18_Prochlorococcus_A_sp000634215,GCA_000634275.1_De_novo_assembly_of_single-cell_genomes_genomic_prodigal_proteins.faa,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_sp._scB243_497J18_Prochlorococcus_A_sp000634215 # GCA_000634275.1
GCA_000634295.1,PRJNA239872,SAMN02671358,JFML00000000.1,derived from single cell,na,,1471487,1471487,scB243_498A3,latest,Contig,Major,Full,2014/04/22,De novo assembly of single-cell genomes,Massachusetts Institute of Technology,GCF_000634295.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/634/295/GCA_000634295.1_De_novo_assembly_of_single-cell_genomes,./genbank/bacteria/GCA_000634295.1/GCA_000634295.1_De_novo_assembly_of_single-cell_genomes_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_000634295.1_De_novo_assembly_of_single-cell_genomes_genomic.fna,GCA_000634295.1_De_novo_assembly_of_single-cell_genomes,False,..//ncbi/processing/prodigal_proteins/GCA_000634295.1_De_novo_assembly_of_single-cell_genomes_genomic_prodigal_proteins.faa,../data/ncbi/processing/prodigal_genes/GCA_000634295.1_De_novo_assembly_of_single-cell_genomes_genomic_prodigal_genes.fna,92.07,0.59,True,,,,,,,,,,,,,,,,,,,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_A,Prochlorococcus_A sp001989455,0.31338,1.47254,Prochlorococcus sp. scB243_498A3,,Prochlorococcus_A,Prochlorococcus_A sp001989455,,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_sp._scB243_498A3_Prochlorococcus_A_sp001989455,GCA_000634295.1_De_novo_assembly_of_single-cell_genomes_genomic_prodigal_proteins.faa,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_sp._scB243_498A3_Prochlorococcus_A_sp001989455 # GCA_000634295.1
GCA_000634975.1,PRJNA239872,SAMN02671359,JFMM00000000.1,derived from single cell,na,,1471488,1471488,scB243_498B22,latest,Contig,Major,Full,2014/04/22,De novo assembly of single-cell genomes,Massachusetts Institute of Technology,GCF_000634975.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/634/975/GCA_000634975.1_De_novo_assembly_of_single-cell_genomes,./genbank/bacteria/GCA_000634975.1/GCA_000634975.1_De_novo_assembly_of_single-cell_genomes_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_000634975.1_De_novo_assembly_of_single-cell_genomes_genomic.fna,GCA_000634975.1_De_novo_assembly_of_single-cell_genomes,False,..//ncbi/processing/prodigal_proteins/GCA_000634975.1_De_novo_assembly_of_single-cell_genomes_genomic_prodigal_proteins.faa,../data/ncbi/processing/prodigal_genes/GCA_000634975.1_De_novo_assembly_of_single-cell_genomes_genomic_prodigal_genes.fna,91.98,0.63,True,,,,,,,,,,,,,,,,,,,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_A,Prochlorococcus_A sp000635495,0.31203000000000003,1.476136,Prochlorococcus sp. scB243_498B22,,Prochlorococcus_A,Prochlorococcus_A sp000635495,,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_sp._scB243_498B22_Prochlorococcus_A_sp000635495,GCA_000634975.1_De_novo_assembly_of_single-cell_genomes_genomic_prodigal_proteins.faa,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_sp._scB243_498B22_Prochlorococcus_A_sp000635495 # GCA_000634975.1
GCA_000635595.1,PRJNA239872,SAMN02671360,JFMN00000000.1,derived from single cell,na,,1471489,1471489,scB243_498B23,latest,Contig,Major,Full,2014/04/22,De novo assembly of single-cell genomes,Massachusetts Institute of Technology,GCF_000635595.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/635/595/GCA_000635595.1_De_novo_assembly_of_single-cell_genomes,./genbank/bacteria/GCA_000635595.1/GCA_000635595.1_De_novo_assembly_of_single-cell_genomes_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_000635595.1_De_novo_assembly_of_single-cell_genomes_genomic.fna,GCA_000635595.1_De_novo_assembly_of_single-cell_genomes,False,..//ncbi/processing/prodigal_proteins/GCA_000635595.1_De_novo_assembly_of_single-cell_genomes_genomic_prodigal_proteins.faa,../data/ncbi/processing/prodigal_genes/GCA_000635595.1_De_novo_assembly_of_single-cell_genomes_genomic_prodigal_genes.fna,76.09,1.09,True,,,,,,,,,,,,,,,,,,,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_A,Prochlorococcus_A sp000634735,0.31135,1.236607,Prochlorococcus sp. scB243_498B23,,Prochlorococcus_A,Prochlorococcus_A sp000634735,,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_sp._scB243_498B23_Prochlorococcus_A_sp000634735,GCA_000635595.1_De_novo_assembly_of_single-cell_genomes_genomic_prodigal_proteins.faa,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_sp._scB243_498B23_Prochlorococcus_A_sp000634735 # GCA_000635595.1
GCA_000634995.1,PRJNA239872,SAMN02671361,JFMO00000000.1,derived from single cell,na,,1471490,1471490,scB243_498C16,latest,Contig,Major,Full,2014/04/22,De novo assembly of single-cell genomes,Massachusetts Institute of Technology,GCF_000634995.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/634/995/GCA_000634995.1_De_novo_assembly_of_single-cell_genomes,./genbank/bacteria/GCA_000634995.1/GCA_000634995.1_De_novo_assembly_of_single-cell_genomes_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_000634995.1_De_novo_assembly_of_single-cell_genomes_genomic.fna,GCA_000634995.1_De_novo_assembly_of_single-cell_genomes,False,..//ncbi/processing/prodigal_proteins/GCA_000634995.1_De_novo_assembly_of_single-cell_genomes_genomic_prodigal_proteins.faa,../data/ncbi/processing/prodigal_genes/GCA_000634995.1_De_novo_assembly_of_single-cell_genomes_genomic_prodigal_genes.fna,92.45,0.23,True,,,,,,,,,,,,,,,,,,,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_A,Prochlorococcus_A sp000635495,0.31193000000000004,1.477228,Prochlorococcus sp. scB243_498C16,,Prochlorococcus_A,Prochlorococcus_A sp000635495,,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_sp._scB243_498C16_Prochlorococcus_A_sp000635495,GCA_000634995.1_De_novo_assembly_of_single-cell_genomes_genomic_prodigal_proteins.faa,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_sp._scB243_498C16_Prochlorococcus_A_sp000635495 # GCA_000634995.1
GCA_000635615.1,PRJNA239872,SAMN02671362,JFMP00000000.1,derived from single cell,na,,1471491,1471491,scB243_498F21,latest,Contig,Major,Full,2014/04/22,De novo assembly of single-cell genomes,Massachusetts Institute of Technology,GCF_000635615.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/635/615/GCA_000635615.1_De_novo_assembly_of_single-cell_genomes,./genbank/bacteria/GCA_000635615.1/GCA_000635615.1_De_novo_assembly_of_single-cell_genomes_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_000635615.1_De_novo_assembly_of_single-cell_genomes_genomic.fna,GCA_000635615.1_De_novo_assembly_of_single-cell_genomes,False,..//ncbi/processing/prodigal_proteins/GCA_000635615.1_De_novo_assembly_of_single-cell_genomes_genomic_prodigal_proteins.faa,../data/ncbi/processing/prodigal_genes/GCA_000635615.1_De_novo_assembly_of_single-cell_genomes_genomic_prodigal_genes.fna,83.79,1.31,True,,,,,,,,,,,,,,,,,,,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_A,Prochlorococcus_A sp000635495,0.3114,1.398815,Prochlorococcus sp. scB243_498F21,,Prochlorococcus_A,Prochlorococcus_A sp000635495,,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_sp._scB243_498F21_Prochlorococcus_A_sp000635495,GCA_000635615.1_De_novo_assembly_of_single-cell_genomes_genomic_prodigal_proteins.faa,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_sp._scB243_498F21_Prochlorococcus_A_sp000635495 # GCA_000635615.1
GCA_000635635.1,PRJNA239872,SAMN02671363,JFMQ00000000.1,derived from single cell,na,,1471492,1471492,scB243_498G3,latest,Contig,Major,Full,2014/04/22,De novo assembly of single-cell genomes,Massachusetts Institute of Technology,GCF_000635635.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/635/635/GCA_000635635.1_De_novo_assembly_of_single-cell_genomes,./genbank/bacteria/GCA_000635635.1/GCA_000635635.1_De_novo_assembly_of_single-cell_genomes_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_000635635.1_De_novo_assembly_of_single-cell_genomes_genomic.fna,GCA_000635635.1_De_novo_assembly_of_single-cell_genomes,False,..//ncbi/processing/prodigal_proteins/GCA_000635635.1_De_novo_assembly_of_single-cell_genomes_genomic_prodigal_proteins.faa,../data/ncbi/processing/prodigal_genes/GCA_000635635.1_De_novo_assembly_of_single-cell_genomes_genomic_prodigal_genes.fna,63.38,0.69,True,,,,,,,,,,,,,,,,,,,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_A,Prochlorococcus_A sp000635495,0.31124,1.054292,Prochlorococcus sp. scB243_498G3,,Prochlorococcus_A,Prochlorococcus_A sp000635495,,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_sp._scB243_498G3_Prochlorococcus_A_sp000635495,GCA_000635635.1_De_novo_assembly_of_single-cell_genomes_genomic_prodigal_proteins.faa,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_sp._scB243_498G3_Prochlorococcus_A_sp000635495 # GCA_000635635.1
