,assembly_accession,bioproject,biosample,wgs_master,excluded_from_refseq,refseq_category,relation_to_type_material,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,local_filename,local_fna,filename,is_synecho
10,GCA_009498715.1,PRJNA510697,SAMN10613228,,,na,,2283154,32046,Synechococcus elongatus PCC 11802,strain=PCC 11802,,latest,Chromosome,Major,Full,2019/11/04,ASM949871v1,Indo-US Advanced Bioenergy Consortium (IUABC),na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/498/715/GCA_009498715.1_ASM949871v1,./genbank/bacteria/GCA_009498715.1/GCA_009498715.1_ASM949871v1_genomic.fna.gz,../data/ncbi/processing/genomic_fna/GCA_009498715.1_ASM949871v1_genomic.fna,GCA_009498715.1_ASM949871v1,True
11,GCA_000019485.1,PRJNA28247,SAMN01081740,,,na,,32049,32049,Synechococcus sp. PCC 7002,strain=PCC 7002; ATCC 27264,,latest,Complete Genome,Major,Full,2008/03/14,ASM1948v1,Penn State University,GCF_000019485.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/485/GCA_000019485.1_ASM1948v1,./genbank/bacteria/GCA_000019485.1/GCA_000019485.1_ASM1948v1_genomic.fna.gz,../data/ncbi/processing/genomic_fna/GCA_000019485.1_ASM1948v1_genomic.fna,GCA_000019485.1_ASM1948v1,True
12,GCA_000063505.1,PRJNA13642,SAMEA3138264,,,na,,32051,32051,Synechococcus sp. WH 7803,,,latest,Complete Genome,Major,Full,2007/05/19,ASM6350v1,Genoscope,GCF_000063505.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/063/505/GCA_000063505.1_ASM6350v1,./genbank/bacteria/GCA_000063505.1/GCA_000063505.1_ASM6350v1_genomic.fna.gz,../data/ncbi/processing/genomic_fna/GCA_000063505.1_ASM6350v1_genomic.fna,GCA_000063505.1_ASM6350v1,True
13,GCA_001040845.1,PRJNA278997,SAMN03436066,,,na,,32052,32052,Synechococcus sp. WH 8020,strain=WH 8020,,latest,Chromosome,Major,Full,2015/06/26,ASM104084v1,University of Rhode Island,GCF_001040845.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/040/845/GCA_001040845.1_ASM104084v1,./genbank/bacteria/GCA_001040845.1/GCA_001040845.1_ASM104084v1_genomic.fna.gz,../data/ncbi/processing/genomic_fna/GCA_001040845.1_ASM104084v1_genomic.fna,GCA_001040845.1_ASM104084v1,True
14,GCA_003990665.2,PRJDB5665,SAMD00081177,,,representative genome,,2005468,32053,Thermosynechococcus vulcanus NIES-2134,strain=NIES-2134,,latest,Complete Genome,Major,Full,2017/10/25,ASM399066v2,Toyohashi University of Technology,GCF_003990665.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/990/665/GCA_003990665.2_ASM399066v2,./genbank/bacteria/GCA_003990665.2/GCA_003990665.2_ASM399066v2_genomic.fna.gz,../data/ncbi/processing/genomic_fna/GCA_003990665.2_ASM399066v2_genomic.fna,GCA_003990665.2_ASM399066v2,True
15,GCA_002754935.1,PRJNA352894,SAMN06008796,,,representative genome,assembly from type material,1917166,33070,Synechococcus lividus PCC 6715,strain=PCC 6715,,latest,Complete Genome,Major,Full,2017/11/06,ASM275493v1,Peking University Shenzhen Graduate School,GCF_002754935.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/754/935/GCA_002754935.1_ASM275493v1,./genbank/bacteria/GCA_002754935.1/GCA_002754935.1_ASM275493v1_genomic.fna.gz,../data/ncbi/processing/genomic_fna/GCA_002754935.1_ASM275493v1_genomic.fna,GCA_002754935.1_ASM275493v1,True
16,GCA_000153285.1,PRJNA13553,SAMN02436160,AAOK00000000.1,,na,,59931,59931,Synechococcus sp. WH 7805,strain=WH 7805,,latest,Scaffold,Major,Full,2006/05/04,ASM15328v1,The Gordon and Betty Moore Foundation Marine Microbiology Initiative,GCF_000153285.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/153/285/GCA_000153285.1_ASM15328v1,./genbank/bacteria/GCA_000153285.1/GCA_000153285.1_ASM15328v1_genomic.fna.gz,../data/ncbi/processing/genomic_fna/GCA_000153285.1_ASM15328v1_genomic.fna,GCA_000153285.1_ASM15328v1,True
17,GCA_004209775.1,PRJNA518918,SAMN10863495,,,na,,59932,59932,Synechococcus sp. WH 8101,strain=WH 8101,,latest,Complete Genome,Major,Full,2019/02/19,ASM420977v1,University of Delaware,GCF_004209775.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/209/775/GCA_004209775.1_ASM420977v1,./genbank/bacteria/GCA_004209775.1/GCA_004209775.1_ASM420977v1_genomic.fna.gz,../data/ncbi/processing/genomic_fna/GCA_004209775.1_ASM420977v1_genomic.fna,GCA_004209775.1_ASM420977v1,True
18,GCA_000014585.1,PRJNA12530,SAMN02604031,,,na,,64471,64471,Synechococcus sp. CC9311,strain=CC9311,,latest,Complete Genome,Major,Full,2006/09/01,ASM1458v1,TIGR,GCF_000014585.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/585/GCA_000014585.1_ASM1458v1,./genbank/bacteria/GCA_000014585.1/GCA_000014585.1_ASM1458v1_genomic.fna.gz,../data/ncbi/processing/genomic_fna/GCA_000014585.1_ASM1458v1_genomic.fna,GCA_000014585.1_ASM1458v1,True
19,GCA_000153045.1,PRJNA13554,SAMN02436085,AANO00000000.1,,na,,69042,69042,Synechococcus sp. WH 5701,strain=WH 5701,,latest,Scaffold,Major,Full,2006/05/04,ASM15304v1,The Gordon and Betty Moore Foundation Marine Microbiology Initiative,GCF_000153045.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/153/045/GCA_000153045.1_ASM15304v1,./genbank/bacteria/GCA_000153045.1/GCA_000153045.1_ASM15304v1_genomic.fna.gz,../data/ncbi/processing/genomic_fna/GCA_000153045.1_ASM15304v1_genomic.fna,GCA_000153045.1_ASM15304v1,True
20,GCA_000195975.1,PRJNA230,SAMEA3138327,,,na,,84588,84588,Synechococcus sp. WH 8102,strain=WH 8102,,latest,Complete Genome,Major,Full,2003/08/18,ASM19597v1,DOE Joint Genome Institute,GCF_000195975.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/975/GCA_000195975.1_ASM19597v1,./genbank/bacteria/GCA_000195975.1/GCA_000195975.1_ASM19597v1_genomic.fna.gz,../data/ncbi/processing/genomic_fna/GCA_000195975.1_ASM19597v1_genomic.fna,GCA_000195975.1_ASM19597v1,True
21,GCA_000155595.1,PRJNA19377,SAMN02436177,ABRV00000000.1,,na,,91464,91464,Synechococcus sp. PCC 7335,strain=PCC 7335,,latest,Scaffold,Major,Full,2008/08/15,ASM15559v1,Gordon and Betty Moore Foundation Microbial Genome Sequencing Project,GCF_000155595.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/155/595/GCA_000155595.1_ASM15559v1,./genbank/bacteria/GCA_000155595.1/GCA_000155595.1_ASM15559v1_genomic.fna.gz,../data/ncbi/processing/genomic_fna/GCA_000155595.1_ASM15559v1_genomic.fna,GCA_000155595.1_ASM15559v1,True
22,GCA_000012625.1,PRJNA13643,SAMN02598311,,,na,,110662,110662,Synechococcus sp. CC9605,strain=CC9605,,latest,Complete Genome,Major,Full,2005/10/27,ASM1262v1,DOE Joint Genome Institute,GCF_000012625.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/625/GCA_000012625.1_ASM1262v1,./genbank/bacteria/GCA_000012625.1/GCA_000012625.1_ASM1262v1_genomic.fna.gz,../data/ncbi/processing/genomic_fna/GCA_000012625.1_ASM1262v1_genomic.fna,GCA_000012625.1_ASM1262v1,True
23,GCA_000515235.1,PRJNA89559,SAMN02597268,AZXL00000000.1,,na,,110663,110663,Synechococcus sp. CC9616,strain=CC9616,,latest,Scaffold,Major,Full,2014/01/07,ASM51523v1,JGI,GCF_000515235.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/515/235/GCA_000515235.1_ASM51523v1,./genbank/bacteria/GCA_000515235.1/GCA_000515235.1_ASM51523v1_genomic.fna.gz,../data/ncbi/processing/genomic_fna/GCA_000515235.1_ASM51523v1_genomic.fna,GCA_000515235.1_ASM51523v1,True
24,GCA_000011345.1,PRJNA308,SAMD00061106,,,representative genome,,197221,146786,Thermosynechococcus elongatus BP-1,strain=BP-1,,latest,Complete Genome,Major,Full,2004/05/11,ASM1134v1,Kazusa,GCF_000011345.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/345/GCA_000011345.1_ASM1134v1,./genbank/bacteria/GCA_000011345.1/GCA_000011345.1_ASM1134v1_genomic.fna.gz,../data/ncbi/processing/genomic_fna/GCA_000011345.1_ASM1134v1_genomic.fna,GCA_000011345.1_ASM1134v1,True
25,GCA_003555505.1,PRJNA489155,SAMN09949183,,,na,,2016101,146786,Thermosynechococcus elongatus PKUAC-SCTE542,strain=PKUAC-SCTE542,,latest,Complete Genome,Major,Full,2018/09/13,ASM355550v1,Peking University Shenzhen Graduate School,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/555/505/GCA_003555505.1_ASM355550v1,./genbank/bacteria/GCA_003555505.1/GCA_003555505.1_ASM355550v1_genomic.fna.gz,../data/ncbi/processing/genomic_fna/GCA_003555505.1_ASM355550v1_genomic.fna,GCA_003555505.1_ASM355550v1,True
26,GCA_902527915.1,PRJEB33281,SAMEA6070558,CABZQQ000000000.1,derived from environmental source,na,,154535,154535,uncultured Synechococcus sp.,,AG-896-G19,latest,Contig,Major,Full,2019/10/28,AG-896-G19,WOODS HOLE OCEANOGRAPHIC INSTITUTION,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/527/915/GCA_902527915.1_AG-896-G19,./genbank/bacteria/GCA_902527915.1/GCA_902527915.1_AG-896-G19_genomic.fna.gz,../data/ncbi/processing/genomic_fna/GCA_902527915.1_AG-896-G19_genomic.fna,GCA_902527915.1_AG-896-G19,True
27,GCA_902533725.1,PRJEB33281,SAMEA6070846,CACAMT000000000.1,derived from environmental source,na,,154535,154535,uncultured Synechococcus sp.,,AG-898-C20,latest,Contig,Major,Full,2019/10/28,AG-898-C20,WOODS HOLE OCEANOGRAPHIC INSTITUTION,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/533/725/GCA_902533725.1_AG-898-C20,./genbank/bacteria/GCA_902533725.1/GCA_902533725.1_AG-898-C20_genomic.fna.gz,../data/ncbi/processing/genomic_fna/GCA_902533725.1_AG-898-C20_genomic.fna,GCA_902533725.1_AG-898-C20,True
28,GCA_902540675.1,PRJEB33281,SAMEA6068925,CACBOC000000000.1,derived from environmental source,na,,154535,154535,uncultured Synechococcus sp.,,AG-359-E22,latest,Contig,Major,Full,2019/10/28,AG-359-E22,WOODS HOLE OCEANOGRAPHIC INSTITUTION,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/540/675/GCA_902540675.1_AG-359-E22,./genbank/bacteria/GCA_902540675.1/GCA_902540675.1_AG-359-E22_genomic.fna.gz,../data/ncbi/processing/genomic_fna/GCA_902540675.1_AG-359-E22_genomic.fna,GCA_902540675.1_AG-359-E22,True
29,GCA_902548805.1,PRJEB33281,SAMEA6071598,CACCSS000000000.1,derived from environmental source,na,,154535,154535,uncultured Synechococcus sp.,,AG-901-N20,latest,Contig,Major,Full,2019/10/28,AG-901-N20,WOODS HOLE OCEANOGRAPHIC INSTITUTION,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/548/805/GCA_902548805.1_AG-901-N20,./genbank/bacteria/GCA_902548805.1/GCA_902548805.1_AG-901-N20_genomic.fna.gz,../data/ncbi/processing/genomic_fna/GCA_902548805.1_AG-901-N20_genomic.fna,GCA_902548805.1_AG-901-N20,True
30,GCA_902549675.1,PRJEB33281,SAMEA6071646,CACCWM000000000.1,derived from environmental source,na,,154535,154535,uncultured Synechococcus sp.,,AG-903-B09,latest,Contig,Major,Full,2019/10/28,AG-903-B09,WOODS HOLE OCEANOGRAPHIC INSTITUTION,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/549/675/GCA_902549675.1_AG-903-B09,./genbank/bacteria/GCA_902549675.1/GCA_902549675.1_AG-903-B09_genomic.fna.gz,../data/ncbi/processing/genomic_fna/GCA_902549675.1_AG-903-B09_genomic.fna,GCA_902549675.1_AG-903-B09,True
31,GCA_902560665.1,PRJEB33281,SAMEA6072196,CACEMU000000000.1,derived from environmental source,na,,154535,154535,uncultured Synechococcus sp.,,AG-905-O11,latest,Contig,Major,Full,2019/11/05,AG-905-O11,WOODS HOLE OCEANOGRAPHIC INSTITUTION,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/560/665/GCA_902560665.1_AG-905-O11,./genbank/bacteria/GCA_902560665.1/GCA_902560665.1_AG-905-O11_genomic.fna.gz,../data/ncbi/processing/genomic_fna/GCA_902560665.1_AG-905-O11_genomic.fna,GCA_902560665.1_AG-905-O11,True
32,GCA_902575935.1,PRJEB33281,SAMEA6079541,CACGTI000000000.1,derived from environmental source,na,,154535,154535,uncultured Synechococcus sp.,,AG-426-B22,latest,Contig,Major,Full,2019/11/05,AG-426-B22,WOODS HOLE OCEANOGRAPHIC INSTITUTION,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/575/935/GCA_902575935.1_AG-426-B22,./genbank/bacteria/GCA_902575935.1/GCA_902575935.1_AG-426-B22_genomic.fna.gz,../data/ncbi/processing/genomic_fna/GCA_902575935.1_AG-426-B22_genomic.fna,GCA_902575935.1_AG-426-B22,True
33,GCA_902579345.1,PRJEB33281,SAMEA6073200,CACHGM000000000.1,derived from environmental source,na,,154535,154535,uncultured Synechococcus sp.,,AG-911-L15,latest,Contig,Major,Full,2019/11/05,AG-911-L15,WOODS HOLE OCEANOGRAPHIC INSTITUTION,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/579/345/GCA_902579345.1_AG-911-L15,./genbank/bacteria/GCA_902579345.1/GCA_902579345.1_AG-911-L15_genomic.fna.gz,../data/ncbi/processing/genomic_fna/GCA_902579345.1_AG-911-L15_genomic.fna,GCA_902579345.1_AG-911-L15,True
34,GCA_902582045.1,PRJEB33281,SAMEA6073274,CACHQJ000000000.1,derived from environmental source,na,,154535,154535,uncultured Synechococcus sp.,,AG-912-B07,latest,Contig,Major,Full,2019/11/05,AG-912-B07,WOODS HOLE OCEANOGRAPHIC INSTITUTION,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/582/045/GCA_902582045.1_AG-912-B07,./genbank/bacteria/GCA_902582045.1/GCA_902582045.1_AG-912-B07_genomic.fna.gz,../data/ncbi/processing/genomic_fna/GCA_902582045.1_AG-912-B07_genomic.fna,GCA_902582045.1_AG-912-B07,True
35,GCA_902584485.1,PRJEB33281,SAMEA6073445,CACHZW000000000.1,derived from environmental source,na,,154535,154535,uncultured Synechococcus sp.,,AG-912-O23,latest,Contig,Major,Full,2019/11/05,AG-912-O23,WOODS HOLE OCEANOGRAPHIC INSTITUTION,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/584/485/GCA_902584485.1_AG-912-O23,./genbank/bacteria/GCA_902584485.1/GCA_902584485.1_AG-912-O23_genomic.fna.gz,../data/ncbi/processing/genomic_fna/GCA_902584485.1_AG-912-O23_genomic.fna,GCA_902584485.1_AG-912-O23,True
36,GCA_902589915.1,PRJEB33281,SAMEA6073740,CACIUY000000000.1,derived from environmental source,na,,154535,154535,uncultured Synechococcus sp.,,AG-914-F20,latest,Contig,Major,Full,2019/11/05,AG-914-F20,WOODS HOLE OCEANOGRAPHIC INSTITUTION,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/589/915/GCA_902589915.1_AG-914-F20,./genbank/bacteria/GCA_902589915.1/GCA_902589915.1_AG-914-F20_genomic.fna.gz,../data/ncbi/processing/genomic_fna/GCA_902589915.1_AG-914-F20_genomic.fna,GCA_902589915.1_AG-914-F20,True
37,GCA_902592305.1,PRJEB33281,SAMEA6073859,CACJDX000000000.1,derived from environmental source,na,,154535,154535,uncultured Synechococcus sp.,,AG-914-O22,latest,Contig,Major,Full,2019/11/05,AG-914-O22,WOODS HOLE OCEANOGRAPHIC INSTITUTION,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/592/305/GCA_902592305.1_AG-914-O22,./genbank/bacteria/GCA_902592305.1/GCA_902592305.1_AG-914-O22_genomic.fna.gz,../data/ncbi/processing/genomic_fna/GCA_902592305.1_AG-914-O22_genomic.fna,GCA_902592305.1_AG-914-O22,True
38,GCA_902592665.1,PRJEB33281,SAMEA6076493,CACJFL000000000.1,derived from environmental source,na,,154535,154535,uncultured Synechococcus sp.,,AG-447-E14,latest,Contig,Major,Full,2019/11/06,AG-447-E14,WOODS HOLE OCEANOGRAPHIC INSTITUTION,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/592/665/GCA_902592665.1_AG-447-E14,./genbank/bacteria/GCA_902592665.1/GCA_902592665.1_AG-447-E14_genomic.fna.gz,../data/ncbi/processing/genomic_fna/GCA_902592665.1_AG-447-E14_genomic.fna,GCA_902592665.1_AG-447-E14,True
39,GCA_902596755.1,PRJEB33281,SAMEA6074142,CACJVD000000000.1,derived from environmental source,na,,154535,154535,uncultured Synechococcus sp.,,AG-916-D19,latest,Contig,Major,Full,2019/11/06,AG-916-D19,WOODS HOLE OCEANOGRAPHIC INSTITUTION,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/596/755/GCA_902596755.1_AG-916-D19,./genbank/bacteria/GCA_902596755.1/GCA_902596755.1_AG-916-D19_genomic.fna.gz,../data/ncbi/processing/genomic_fna/GCA_902596755.1_AG-916-D19_genomic.fna,GCA_902596755.1_AG-916-D19,True
40,GCA_902599435.1,PRJEB33281,SAMEA6074274,CACKFN000000000.1,derived from environmental source,na,,154535,154535,uncultured Synechococcus sp.,,AG-916-N22,latest,Contig,Major,Full,2019/11/06,AG-916-N22,WOODS HOLE OCEANOGRAPHIC INSTITUTION,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/599/435/GCA_902599435.1_AG-916-N22,./genbank/bacteria/GCA_902599435.1/GCA_902599435.1_AG-916-N22_genomic.fna.gz,../data/ncbi/processing/genomic_fna/GCA_902599435.1_AG-916-N22_genomic.fna,GCA_902599435.1_AG-916-N22,True
41,GCA_902599585.1,PRJEB33281,SAMEA6074281,CACKFT000000000.1,derived from environmental source,na,,154535,154535,uncultured Synechococcus sp.,,AG-916-O11,latest,Contig,Major,Full,2019/11/06,AG-916-O11,WOODS HOLE OCEANOGRAPHIC INSTITUTION,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/599/585/GCA_902599585.1_AG-916-O11,./genbank/bacteria/GCA_902599585.1/GCA_902599585.1_AG-916-O11_genomic.fna.gz,../data/ncbi/processing/genomic_fna/GCA_902599585.1_AG-916-O11_genomic.fna,GCA_902599585.1_AG-916-O11,True
42,GCA_902612475.1,PRJEB33281,SAMEA6074592,CACMDN000000000.1,derived from environmental source,na,,154535,154535,uncultured Synechococcus sp.,,AG-918-G20,latest,Contig,Major,Full,2019/11/05,AG-918-G20,WOODS HOLE OCEANOGRAPHIC INSTITUTION,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/612/475/GCA_902612475.1_AG-918-G20,./genbank/bacteria/GCA_902612475.1/GCA_902612475.1_AG-918-G20_genomic.fna.gz,../data/ncbi/processing/genomic_fna/GCA_902612475.1_AG-918-G20_genomic.fna,GCA_902612475.1_AG-918-G20,True
43,GCA_902616255.1,PRJEB33281,SAMEA6074780,CACMSA000000000.1,derived from environmental source,na,,154535,154535,uncultured Synechococcus sp.,,AG-919-I18,latest,Contig,Major,Full,2019/11/07,AG-919-I18,WOODS HOLE OCEANOGRAPHIC INSTITUTION,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/616/255/GCA_902616255.1_AG-919-I18,./genbank/bacteria/GCA_902616255.1/GCA_902616255.1_AG-919-I18_genomic.fna.gz,../data/ncbi/processing/genomic_fna/GCA_902616255.1_AG-919-I18_genomic.fna,GCA_902616255.1_AG-919-I18,True
44,GCA_902616995.1,PRJEB33281,SAMEA6074818,CACMUV000000000.1,derived from environmental source,na,,154535,154535,uncultured Synechococcus sp.,,AG-919-L20,latest,Contig,Major,Full,2019/11/05,AG-919-L20,WOODS HOLE OCEANOGRAPHIC INSTITUTION,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/616/995/GCA_902616995.1_AG-919-L20,./genbank/bacteria/GCA_902616995.1/GCA_902616995.1_AG-919-L20_genomic.fna.gz,../data/ncbi/processing/genomic_fna/GCA_902616995.1_AG-919-L20_genomic.fna,GCA_902616995.1_AG-919-L20,True
