Assembly_name	Original_file_name	taxid	num_SCG_hits	uniq_SCG_hits	perc_comp	perc_redund
GCA_000230675.2_ASM23067v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_000230675.2_ASM23067v1_genomic_prodigal_proteins.faa	NA	244	242	97.21	0.80
GCA_003846445.1_ASM384644v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_003846445.1_ASM384644v1_genomic_prodigal_proteins.faa	NA	245	244	97.61	0.40
GCA_000515235.1_ASM51523v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_000515235.1_ASM51523v1_genomic_prodigal_proteins.faa	NA	245	243	97.61	0.80
GCA_002754935.1_ASM275493v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_002754935.1_ASM275493v1_genomic_prodigal_proteins.faa	NA	246	238	98.01	3.19
GCA_000010065.1_ASM1006v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_000010065.1_ASM1006v1_genomic_prodigal_proteins.faa	NA	243	243	96.81	0.00
GCA_000011345.1_ASM1134v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_000011345.1_ASM1134v1_genomic_prodigal_proteins.faa	NA	246	245	98.01	0.40
GCA_003990665.2_ASM399066v2_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_003990665.2_ASM399066v2_genomic_prodigal_proteins.faa	NA	247	246	98.41	0.40
GCA_000014585.1_ASM1458v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_000014585.1_ASM1458v1_genomic_prodigal_proteins.faa	NA	247	246	98.41	0.40
GCA_000012525.1_ASM1252v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_000012525.1_ASM1252v1_genomic_prodigal_proteins.faa	NA	243	243	96.81	0.00
GCA_001040845.1_ASM104084v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_001040845.1_ASM104084v1_genomic_prodigal_proteins.faa	NA	246	245	98.01	0.40
GCA_009498715.1_ASM949871v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_009498715.1_ASM949871v1_genomic_prodigal_proteins.faa	NA	243	238	96.81	1.99
GCA_003957805.1_ASM395780v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_003957805.1_ASM395780v1_genomic_prodigal_proteins.faa	NA	243	243	96.81	0.00
GCA_011055065.1_ASM1105506v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_011055065.1_ASM1105506v1_genomic_prodigal_proteins.faa	NA	234	227	93.23	2.79
GCA_002252675.1_ASM225267v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_002252675.1_ASM225267v1_genomic_prodigal_proteins.faa	NA	249	248	99.20	0.40
GCA_011047875.1_ASM1104787v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_011047875.1_ASM1104787v1_genomic_prodigal_proteins.faa	NA	238	229	94.82	3.59
GCA_001693295.1_ASM169329v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_001693295.1_ASM169329v1_genomic_prodigal_proteins.faa	NA	245	242	97.61	1.20
GCA_000019485.1_ASM1948v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_000019485.1_ASM1948v1_genomic_prodigal_proteins.faa	NA	245	243	97.61	0.80
GCA_000316685.1_ASM31668v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_000316685.1_ASM31668v1_genomic_prodigal_proteins.faa	NA	246	246	98.01	0.00
GCA_000332275.1_ASM33227v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_000332275.1_ASM33227v1_genomic_prodigal_proteins.faa	NA	241	231	96.02	3.98
GCA_000155595.1_ASM15559v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_000155595.1_ASM15559v1_genomic_prodigal_proteins.faa	NA	240	230	95.62	4.78
GCA_002252635.1_ASM225263v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_002252635.1_ASM225263v1_genomic_prodigal_proteins.faa	NA	250	250	99.60	0.00
GCA_000153825.1_ASM15382v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_000153825.1_ASM15382v1_genomic_prodigal_proteins.faa	NA	251	248	100.00	1.20
GCA_900047545.1_m9_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_900047545.1_m9_genomic_prodigal_proteins.faa	NA	200	198	79.68	0.80
GCA_002018015.1_ASM201801v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_002018015.1_ASM201801v1_genomic_prodigal_proteins.faa	NA	187	186	74.50	0.40
GCA_002018045.1_ASM201804v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_002018045.1_ASM201804v1_genomic_prodigal_proteins.faa	NA	193	191	76.89	0.80
GCA_001693275.1_ASM169327v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_001693275.1_ASM169327v1_genomic_prodigal_proteins.faa	NA	245	243	97.61	0.80
GCA_000586015.1_SynSpo.0_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_000586015.1_SynSpo.0_genomic_prodigal_proteins.faa	NA	208	200	82.87	3.19
GCA_000153065.1_ASM15306v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_000153065.1_ASM15306v1_genomic_prodigal_proteins.faa	NA	250	249	99.60	0.40
GCA_000153805.1_ASM15380v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_000153805.1_ASM15380v1_genomic_prodigal_proteins.faa	NA	244	242	97.21	0.80
GCA_900474085.1_UW86_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_900474085.1_UW86_genomic_prodigal_proteins.faa	NA	248	246	98.80	0.80
GCA_001007665.1_ASM100766v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_001007665.1_ASM100766v1_genomic_prodigal_proteins.faa	NA	230	224	91.63	2.39
GCA_000179235.2_ASM17923v2_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_000179235.2_ASM17923v2_genomic_prodigal_proteins.faa	NA	250	248	99.60	0.80
GCA_000012505.1_ASM1250v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_000012505.1_ASM1250v1_genomic_prodigal_proteins.faa	NA	245	244	97.61	0.40
GCA_000063525.1_ASM6352v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_000063525.1_ASM6352v1_genomic_prodigal_proteins.faa	NA	249	247	99.20	0.80
GCA_001007635.1_ASM100763v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_001007635.1_ASM100763v1_genomic_prodigal_proteins.faa	NA	229	224	91.24	2.39
GCA_000179255.1_ASM17925v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_000179255.1_ASM17925v1_genomic_prodigal_proteins.faa	NA	250	246	99.60	1.59
GCA_900474185.1_UW69_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_900474185.1_UW69_genomic_prodigal_proteins.faa	NA	247	246	98.41	0.40
GCA_001007625.1_ASM100762v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_001007625.1_ASM100762v1_genomic_prodigal_proteins.faa	NA	229	222	91.24	2.79
GCA_900474015.1_UW106_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_900474015.1_UW106_genomic_prodigal_proteins.faa	NA	247	246	98.41	0.40
GCA_900474295.1_UW140_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_900474295.1_UW140_genomic_prodigal_proteins.faa	NA	247	244	98.41	1.20
GCA_900473935.1_UW105_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_900473935.1_UW105_genomic_prodigal_proteins.faa	NA	246	244	98.01	0.80
GCA_000737575.1_ASM73757v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_000737575.1_ASM73757v1_genomic_prodigal_proteins.faa	NA	247	246	98.41	0.40
GCA_000013205.1_ASM1320v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_000013205.1_ASM1320v1_genomic_prodigal_proteins.faa	NA	241	233	96.02	3.19
GCA_000737595.1_ASM73759v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_000737595.1_ASM73759v1_genomic_prodigal_proteins.faa	NA	248	246	98.80	0.80
GCA_000013225.1_ASM1322v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_000013225.1_ASM1322v1_genomic_prodigal_proteins.faa	NA	241	235	96.02	2.39
GCA_001521855.1_ASM152185v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_001521855.1_ASM152185v1_genomic_prodigal_proteins.faa	NA	245	241	97.61	1.99
GCA_001693255.1_ASM169325v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_001693255.1_ASM169325v1_genomic_prodigal_proteins.faa	NA	245	242	97.61	1.20
GCA_000737535.1_ASM73753v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_000737535.1_ASM73753v1_genomic_prodigal_proteins.faa	NA	245	244	97.61	0.40
GCA_000715475.1_ASM71547v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_000715475.1_ASM71547v1_genomic_prodigal_proteins.faa	NA	245	243	97.61	0.80
GCA_000317085.1_ASM31708v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_000317085.1_ASM31708v1_genomic_prodigal_proteins.faa	NA	241	236	96.02	2.39
GCA_000817325.1_ASM81732v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_000817325.1_ASM81732v1_genomic_prodigal_proteins.faa	NA	244	244	97.21	0.00
GCA_002760345.1_ASM276034v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_002760345.1_ASM276034v1_genomic_prodigal_proteins.faa	NA	241	233	96.02	3.19
GCA_002760375.1_ASM276037v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_002760375.1_ASM276037v1_genomic_prodigal_proteins.faa	NA	240	234	95.62	2.39
GCA_002151525.1_ASM215152v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_002151525.1_ASM215152v1_genomic_prodigal_proteins.faa	NA	173	172	68.92	0.40
GCA_001039265.1_ASM103926v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_001039265.1_ASM103926v1_genomic_prodigal_proteins.faa	NA	213	188	84.86	11.16
GCA_002760395.1_ASM276039v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_002760395.1_ASM276039v1_genomic_prodigal_proteins.faa	NA	239	233	95.22	2.39
GCA_002760445.1_ASM276044v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_002760445.1_ASM276044v1_genomic_prodigal_proteins.faa	NA	240	234	95.62	2.39
GCA_000505665.1_ASM50566v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_000505665.1_ASM50566v1_genomic_prodigal_proteins.faa	NA	247	242	98.41	1.99
GCA_001628295.1_ASM162829v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_001628295.1_ASM162829v1_genomic_prodigal_proteins.faa	NA	237	234	94.42	1.20
GCA_001628325.1_ASM162832v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_001628325.1_ASM162832v1_genomic_prodigal_proteins.faa	NA	236	234	94.02	1.20
GCA_002760415.1_ASM276041v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_002760415.1_ASM276041v1_genomic_prodigal_proteins.faa	NA	239	234	95.22	1.99
GCA_002760475.1_ASM276047v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_002760475.1_ASM276047v1_genomic_prodigal_proteins.faa	NA	240	235	95.62	1.99
GCA_002685515.1_ASM268551v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_002685515.1_ASM268551v1_genomic_prodigal_proteins.faa	NA	146	141	58.17	1.99
GCA_001632105.1_ASM163210v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_001632105.1_ASM163210v1_genomic_prodigal_proteins.faa	NA	248	246	98.80	0.80
GCA_001632165.1_ASM163216v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_001632165.1_ASM163216v1_genomic_prodigal_proteins.faa	NA	249	247	99.20	0.80
GCA_002171075.2_ASM217107v2_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_002171075.2_ASM217107v2_genomic_prodigal_proteins.faa	NA	198	191	78.88	2.79
GCA_002171995.1_ASM217199v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_002171995.1_ASM217199v1_genomic_prodigal_proteins.faa	NA	151	149	60.16	0.80
GCA_001631935.1_ASM163193v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_001631935.1_ASM163193v1_genomic_prodigal_proteins.faa	NA	247	245	98.41	0.80
GCA_001885215.1_ASM188521v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_001885215.1_ASM188521v1_genomic_prodigal_proteins.faa	NA	248	246	98.80	0.80
GCA_000485815.1_ASM48581v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_000485815.1_ASM48581v1_genomic_prodigal_proteins.faa	NA	244	240	97.21	1.59
GCA_002684175.1_ASM268417v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_002684175.1_ASM268417v1_genomic_prodigal_proteins.faa	NA	164	159	65.34	1.99
GCA_003712085.1_ASM371208v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_003712085.1_ASM371208v1_genomic_prodigal_proteins.faa	NA	247	246	98.41	0.40
GCA_002168155.1_ASM216815v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_002168155.1_ASM216815v1_genomic_prodigal_proteins.faa	NA	236	218	94.02	7.17
GCA_002172935.1_ASM217293v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_002172935.1_ASM217293v1_genomic_prodigal_proteins.faa	NA	208	201	82.87	2.79
GCA_003149585.1_ASM314958v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_003149585.1_ASM314958v1_genomic_prodigal_proteins.faa	NA	251	250	100.00	0.40
GCA_002356215.1_ASM235621v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_002356215.1_ASM235621v1_genomic_prodigal_proteins.faa	NA	245	243	97.61	0.80
GCA_002700765.1_ASM270076v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_002700765.1_ASM270076v1_genomic_prodigal_proteins.faa	NA	195	183	77.69	4.78
GCA_002691345.1_ASM269134v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_002691345.1_ASM269134v1_genomic_prodigal_proteins.faa	NA	203	185	80.88	7.17
GCA_002167425.2_ASM216742v2_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_002167425.2_ASM216742v2_genomic_prodigal_proteins.faa	NA	220	209	87.65	4.78
GCA_000775285.1_ASM77528v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_000775285.1_ASM77528v1_genomic_prodigal_proteins.faa	NA	246	211	98.01	14.74
GCA_900177825.1_IMG-taxon_2708742468_annotated_assembly_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_900177825.1_IMG-taxon_2708742468_annotated_assembly_genomic_prodigal_proteins.faa	NA	244	241	97.21	1.20
GCA_900177365.1_IMG-taxon_2708742537_annotated_assembly_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_900177365.1_IMG-taxon_2708742537_annotated_assembly_genomic_prodigal_proteins.faa	NA	245	242	97.61	1.20
GCA_002698505.1_ASM269850v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_002698505.1_ASM269850v1_genomic_prodigal_proteins.faa	NA	231	225	92.03	2.39
GCA_002729835.1_ASM272983v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_002729835.1_ASM272983v1_genomic_prodigal_proteins.faa	NA	221	218	88.05	1.20
GCA_002706715.1_ASM270671v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_002706715.1_ASM270671v1_genomic_prodigal_proteins.faa	NA	156	151	62.15	1.99
GCA_002724845.1_ASM272484v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_002724845.1_ASM272484v1_genomic_prodigal_proteins.faa	NA	191	187	76.10	1.59
GCA_003523965.1_ASM352396v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_003523965.1_ASM352396v1_genomic_prodigal_proteins.faa	NA	181	175	72.11	2.79
GCA_003526105.1_ASM352610v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_003526105.1_ASM352610v1_genomic_prodigal_proteins.faa	NA	163	161	64.94	0.80
GCA_002252665.1_ASM225266v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_002252665.1_ASM225266v1_genomic_prodigal_proteins.faa	NA	251	251	100.00	0.00
GCA_003539795.1_ASM353979v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_003539795.1_ASM353979v1_genomic_prodigal_proteins.faa	NA	219	209	87.25	4.38
GCA_002252625.1_ASM225262v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_002252625.1_ASM225262v1_genomic_prodigal_proteins.faa	NA	249	247	99.20	0.80
GCA_003211535.1_ASM321153v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_003211535.1_ASM321153v1_genomic_prodigal_proteins.faa	NA	211	210	84.06	0.40
GCA_002006815.1_ASM200681v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_002006815.1_ASM200681v1_genomic_prodigal_proteins.faa	NA	229	229	91.24	0.00
GCA_003209005.1_ASM320900v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_003209005.1_ASM320900v1_genomic_prodigal_proteins.faa	NA	200	197	79.68	1.20
GCA_003209135.1_ASM320913v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_003209135.1_ASM320913v1_genomic_prodigal_proteins.faa	NA	134	131	53.39	1.59
GCA_003209035.1_ASM320903v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_003209035.1_ASM320903v1_genomic_prodigal_proteins.faa	NA	126	125	50.20	0.40
GCA_004332415.1_ASM433241v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_004332415.1_ASM433241v1_genomic_prodigal_proteins.faa	NA	249	247	99.20	0.80
GCA_003211255.1_ASM321125v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_003211255.1_ASM321125v1_genomic_prodigal_proteins.faa	NA	132	131	52.59	0.40
GCA_004332405.1_ASM433240v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_004332405.1_ASM433240v1_genomic_prodigal_proteins.faa	NA	247	246	98.41	0.40
GCA_003210935.1_ASM321093v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_003210935.1_ASM321093v1_genomic_prodigal_proteins.faa	NA	176	176	70.12	0.00
GCA_003208975.1_ASM320897v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_003208975.1_ASM320897v1_genomic_prodigal_proteins.faa	NA	137	134	54.58	1.20
GCA_003211275.1_ASM321127v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_003211275.1_ASM321127v1_genomic_prodigal_proteins.faa	NA	165	162	65.74	1.20
GCA_003211515.1_ASM321151v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_003211515.1_ASM321151v1_genomic_prodigal_proteins.faa	NA	153	151	60.96	0.80
GCA_003209155.1_ASM320915v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_003209155.1_ASM320915v1_genomic_prodigal_proteins.faa	NA	185	184	73.71	0.40
GCA_003210555.1_ASM321055v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_003210555.1_ASM321055v1_genomic_prodigal_proteins.faa	NA	136	134	54.18	0.80
GCA_003209165.1_ASM320916v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_003209165.1_ASM320916v1_genomic_prodigal_proteins.faa	NA	228	226	90.84	0.80
GCA_003011125.1_ASM301112v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_003011125.1_ASM301112v1_genomic_prodigal_proteins.faa	NA	243	236	96.81	2.79
GCA_002721235.1_ASM272123v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_002721235.1_ASM272123v1_genomic_prodigal_proteins.faa	NA	244	240	97.21	1.59
GCA_003211205.1_ASM321120v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_003211205.1_ASM321120v1_genomic_prodigal_proteins.faa	NA	195	191	77.69	1.59
GCA_003210995.1_ASM321099v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_003210995.1_ASM321099v1_genomic_prodigal_proteins.faa	NA	179	177	71.31	0.80
GCA_003208775.1_ASM320877v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_003208775.1_ASM320877v1_genomic_prodigal_proteins.faa	NA	150	148	59.76	0.80
GCA_003210735.1_ASM321073v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_003210735.1_ASM321073v1_genomic_prodigal_proteins.faa	NA	163	161	64.94	0.80
GCA_003208835.1_ASM320883v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_003208835.1_ASM320883v1_genomic_prodigal_proteins.faa	NA	193	193	76.89	0.00
GCA_003211235.1_ASM321123v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_003211235.1_ASM321123v1_genomic_prodigal_proteins.faa	NA	139	137	55.38	0.80
GCA_003210375.1_ASM321037v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_003210375.1_ASM321037v1_genomic_prodigal_proteins.faa	NA	192	190	76.49	0.80
GCA_003211015.1_ASM321101v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_003211015.1_ASM321101v1_genomic_prodigal_proteins.faa	NA	175	175	69.72	0.00
GCA_003210815.1_ASM321081v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_003210815.1_ASM321081v1_genomic_prodigal_proteins.faa	NA	142	139	56.57	1.20
GCA_003210775.1_ASM321077v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_003210775.1_ASM321077v1_genomic_prodigal_proteins.faa	NA	160	159	63.75	0.40
GCA_003210795.1_ASM321079v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_003210795.1_ASM321079v1_genomic_prodigal_proteins.faa	NA	190	186	75.70	1.59
GCA_003210475.1_ASM321047v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_003210475.1_ASM321047v1_genomic_prodigal_proteins.faa	NA	120	118	47.81	0.80
GCA_003210515.1_ASM321051v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_003210515.1_ASM321051v1_genomic_prodigal_proteins.faa	NA	140	138	55.78	0.80
GCA_003210755.1_ASM321075v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_003210755.1_ASM321075v1_genomic_prodigal_proteins.faa	NA	210	209	83.67	0.40
GCA_003210705.1_ASM321070v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_003210705.1_ASM321070v1_genomic_prodigal_proteins.faa	NA	166	166	66.14	0.00
GCA_003210315.1_ASM321031v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_003210315.1_ASM321031v1_genomic_prodigal_proteins.faa	NA	136	135	54.18	0.40
GCA_004212765.1_ASM421276v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_004212765.1_ASM421276v1_genomic_prodigal_proteins.faa	NA	140	140	55.78	0.00
GCA_003331245.1_ASM333124v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_003331245.1_ASM333124v1_genomic_prodigal_proteins.faa	NA	211	210	84.06	0.40
GCA_003331225.1_ASM333122v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_003331225.1_ASM333122v1_genomic_prodigal_proteins.faa	NA	217	215	86.45	0.80
GCA_003331765.1_ASM333176v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_003331765.1_ASM333176v1_genomic_prodigal_proteins.faa	NA	221	221	88.05	0.00
