assembly_id	label	taxid	num_SCG_hits	uniq_SCG_hits	perc_comp	perc_redund	num_SCG_hits_after_len_filt	in_final_tree
GCA_000012505.1_ASM1250v1_genomic_prodigal_proteins	Parasynechococcus_chilensis_CC9902_#_GCA_000012505.1	NA	245	244	97.61	0.40	235	Yes
GCA_000012525.1_ASM1252v1_genomic_prodigal_proteins	Synechococcus_elongatus_PCC_7942_#_GCA_000012525.1	NA	243	243	96.81	0.00	235	Yes
GCA_000012625.1_ASM1262v1_genomic_prodigal_proteins	Parasynechococcus_africanus_CC9605_#_GCA_000012625.1	NA	248	247	98.80	0.40	239	Yes
GCA_000012645.1_ASM1264v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_A_marinus_L_MIT_9312_#_GCA_000012645.1	NA	243	242	96.81	0.40	238	Yes
GCA_000013205.1_ASM1320v1_genomic_prodigal_proteins	Leptococcus_yellowstonii_JA-3-3Ab_#_GCA_000013205.1	NA	241	233	96.02	3.19	221	Yes
GCA_000013225.1_ASM1322v1_genomic_prodigal_proteins	Leptococcus_springii_JA-2-3-Ba_#_GCA_000013225.1	NA	241	235	96.02	2.39	225	Yes
GCA_000014265.1_ASM1426v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Cyanobacteriales_f_Phormidiaceae_g_Trichodesmium_Trichodesmium_erythraeum_IMS101_#_GCA_000014265.1	NA	248	241	98.80	3.59	234	Yes
GCA_000014585.1_ASM1458v1_genomic_prodigal_proteins	Pseudosynechococcus_benguelii_CC9311_#_GCA_000014585.1	NA	247	246	98.41	0.40	239	Yes
GCA_000015645.1_ASM1564v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_A_marinus_O_AS9601_#_GCA_000015645.1	NA	240	237	95.62	1.20	232	Yes
GCA_000015665.1_ASM1566v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_A_marinus_P_MIT_9515_#_GCA_000015665.1	NA	243	241	96.81	0.80	233	Yes
GCA_000015685.1_ASM1568v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_B_Prochlorococcus_B_marinus_B_NATL1A_#_GCA_000015685.1	NA	235	233	93.63	0.80	224	Yes
GCA_000015705.1_ASM1570v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_C_Prochlorococcus_C_marinus_B_MIT_9303_#_GCA_000015705.1	NA	236	235	94.02	0.40	231	Yes
GCA_000015965.1_ASM1596v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_A_marinus_E_MIT_9301_#_GCA_000015965.1	NA	240	239	95.62	0.40	232	Yes
GCA_000017845.1_ASM1784v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Cyanobacteriales_f_Microcystaceae_g_Crocosphaera_Crocosphaera_sp000017845_ATCC_51142_#_GCA_000017845.1	NA	247	241	98.41	2.79	231	Yes
GCA_000018065.1_ASM1806v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_A_marinus_A_MIT_9215_#_GCA_000018065.1	NA	241	240	96.02	0.40	236	Yes
GCA_000018105.1_ASM1810v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Thermosynechococcales_f_Thermosynechococcaceae_g_Acaryochloris_Acaryochloris_marina_MBIC11017_#_GCA_000018105.1	NA	238	221	94.82	7.17	213	Yes
GCA_000018585.1_ASM1858v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_D_Prochlorococcus_D_marinus_B_MIT9211_#_GCA_000018585.1	NA	236	234	94.02	0.80	229	Yes
GCA_000019485.1_ASM1948v1_genomic_prodigal_proteins	Limnothrix_euryhalinus_PCC_7002_#_GCA_000019485.1	NA	245	243	97.61	0.80	238	Yes
GCA_000020025.1_ASM2002v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Cyanobacteriales_f_Nostocaceae_g_Nostoc_Nostoc_punctiforme_ATCC_29133_PCC_73102_#_GCA_000020025.1	NA	244	239	97.21	2.79	225	Yes
GCA_000021805.1_ASM2180v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Cyanobacteriales_f_Microcystaceae_g_Cyanothece_A_Cyanothece_A_sp000021805_PCC_8801_#_GCA_000021805.1	NA	245	244	97.61	0.40	238	Yes
GCA_000021825.1_ASM2182v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Cyanobacteriales_f_Microcystaceae_g_Cyanothece_B_Cyanothece_B_sp000021825_PCC_7424_#_GCA_000021825.1	NA	246	238	98.01	3.19	226	Yes
GCA_000022045.1_ASM2204v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Thermosynechococcales_f_Thermosynechococcaceae_g_Cyanothece_Cyanothece_sp000022045_PCC_7425_#_GCA_000022045.1	NA	247	239	98.41	3.19	232	Yes
GCA_000024045.1_ASM2404v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Cyanobacteriales_f_Microcystaceae_g_Cyanothece_A_Cyanothece_A_sp000021805_PCC_8802_#_GCA_000024045.1	NA	245	244	97.61	0.40	238	Yes
GCA_000025125.1_ASM2512v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Cyanobacteriales_f_Microcystaceae_g_Atelocyanobacterium_Candidatus_Atelocyanobacterium_thalassa_isolate_ALOHA_Atelocyanobacterium_thalassa_B_#_GCA_000025125.1	NA	183	182	72.91	0.40	175	Yes
GCA_000063505.1_ASM6350v1_genomic_prodigal_proteins	Pseudosynechococcus_pacificus_WH_7803_#_GCA_000063505.1	NA	245	243	97.61	0.80	236	Yes
GCA_000063525.1_ASM6352v1_genomic_prodigal_proteins	Inmanicoccus_mediterranei_RCC307_#_GCA_000063525.1	NA	249	247	99.20	0.80	241	Yes
GCA_000147335.1_ASM14733v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Cyanobacteriales_f_Microcystaceae_g_Cyanothece_B_Cyanothece_B_sp000147335_PCC_7822_#_GCA_000147335.1	NA	242	234	96.41	4.38	224	Yes
GCA_000153045.1_ASM15304v1_genomic_prodigal_proteins	Regnicoccus_antarcticus_WH_5701_#_GCA_000153045.1	NA	249	228	99.20	8.76	219	Yes
GCA_000153065.1_ASM15306v1_genomic_prodigal_proteins	Pseudosynechococcus_equatorialis_RS9917_#_GCA_000153065.1	NA	250	249	99.60	0.40	240	Yes
GCA_000153285.1_ASM15328v1_genomic_prodigal_proteins	Pseudosynechococcus_subtropicalis_WH_7805_#_GCA_000153285.1	NA	248	247	98.80	0.40	238	Yes
GCA_000153805.1_ASM15380v1_genomic_prodigal_proteins	Parasynechococcus_nordiatlanticus_BL107_#_GCA_000153805.1	NA	244	242	97.21	0.80	230	Yes
GCA_000153825.1_ASM15382v1_genomic_prodigal_proteins	Pseudosynechococcus_gyrus_RS9916_#_GCA_000153825.1	NA	251	248	100.00	1.20	238	Yes
GCA_000155555.1_ASM15555v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Cyanobacteriales_f_Coleofasciculaceae_g_Coleofasciculus_Coleofasciculus_chthonoplastes_PCC_7420_#_GCA_000155555.1	NA	245	239	97.61	2.39	225	Yes
GCA_000155595.1_ASM15559v1_genomic_prodigal_proteins	Coccusdissimilis_mexicanus_PCC_7335_#_GCA_000155595.1	NA	240	230	95.62	4.78	216	Yes
GCA_000155635.1_ASM15563v1_genomic_prodigal_proteins	Cyanobium_sp._PCC_7001_#_GCA_000155635.1	NA	251	251	100.00	0.00	241	Yes
GCA_000158595.1_ASM15859v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_A_marinus_A_MIT_9202_#_GCA_000158595.1	NA	241	238	96.02	1.20	232	Yes
GCA_000161795.2_ASM16179v2_genomic_prodigal_proteins	Parasynechococcus_marearabicus_WH_8109_#_GCA_000161795.2	NA	247	246	98.41	0.40	237	Yes
GCA_000167195.1_ASM16719v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Cyanobacteriales_f_Microcystaceae_g_Crocosphaera_Crocosphaera_watsonii_WH_8501_#_GCA_000167195.1	NA	245	240	97.61	1.99	226	Yes
GCA_000169095.1_ASM16909v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Cyanobacteriales_f_Phormidiaceae_g_Lyngbya_Lyngbya_sp000169095_PCC_8106_#_GCA_000169095.1	NA	241	236	96.02	2.39	225	Yes
GCA_000169135.1_ASM16913v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Cyanobacteriales_f_Nostocaceae_g_Nodularia_Nodularia_spumigena_CCY9414_#_GCA_000169135.1	NA	239	231	95.22	3.19	218	Yes
GCA_000169335.1_ASM16933v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Cyanobacteriales_f_Microcystaceae_g_Crocosphaera_Crocosphaera_sp000169335_CCY0110_#_GCA_000169335.1	NA	247	239	98.41	3.59	232	Yes
GCA_000173555.1_ASM17355v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Cyanobacteriales_f_Phormidiaceae_g_Arthrospira_Arthrospira_maxima_CS-328_#_GCA_000173555.1	NA	230	226	91.63	1.59	213	Yes
GCA_000175415.3_ASM17541v3_genomic_prodigal_proteins	c_Cyanobacteriia_o_Cyanobacteriales_f_Phormidiaceae_g_Arthrospira_Arthrospira_platensis_Paraca_#_GCA_000175415.3	NA	243	243	96.81	0.00	234	Yes
GCA_000175835.1_ASM17583v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Cyanobacteriales_f_Nostocaceae_g_Raphidiopsis_Raphidiopsis_raciborskii_CS-505_#_GCA_000175835.1	NA	244	242	97.21	1.20	233	Yes
GCA_000175855.1_ASM17585v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Cyanobacteriales_f_Nostocaceae_g_Raphidiopsis_Raphidiopsis_brookii_D9_#_GCA_000175855.1	NA	242	240	96.41	0.80	225	Yes
GCA_000176895.2_ASM17689v2_genomic_prodigal_proteins	c_Cyanobacteriia_o_Cyanobacteriales_f_Phormidiaceae_g_Arthrospira_Arthrospira_maxima_PCC_8005_#_GCA_000176895.2	NA	243	225	96.81	7.57	213	Yes
GCA_000179235.2_ASM17923v2_genomic_prodigal_proteins	Vulcanococcus_sudiatlanticus_CB0101_#_GCA_000179235.2	NA	250	248	99.60	0.80	244	Yes
GCA_000179255.1_ASM17925v1_genomic_prodigal_proteins	Vulcanococcus_indicus_CB0205_#_GCA_000179255.1	NA	250	246	99.60	1.59	242	Yes
GCA_000180455.1_ASM18045v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Cyanobacteriales_f_Phormidiaceae_g_Kamptonema_Kamptonema_formosum_PCC_6506_#_GCA_000180455.1	NA	242	239	96.41	1.20	232	Yes
GCA_000195975.1_ASM19597v1_genomic_prodigal_proteins	Parasynechococcus_marenigrum_WH_8102_#_GCA_000195975.1	NA	247	246	98.41	0.40	235	Yes
GCA_000196515.1_ASM19651v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Cyanobacteriales_f_Nostocaceae_g_Trichormus_B_Trichormus_B_azollae_0708_#_GCA_000196515.1	NA	244	243	97.21	0.80	232	Yes
GCA_000204075.1_ASM20407v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Cyanobacteriales_f_Nostocaceae_g_Trichormus_Trichormus_variabilis_ATCC_29413_#_GCA_000204075.1	NA	245	237	97.61	3.19	227	Yes
GCA_000210375.1_ASM21037v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Cyanobacteriales_f_Phormidiaceae_g_Arthrospira_Arthrospira_platensis_NIES-39_#_GCA_000210375.1	NA	243	243	96.81	0.00	235	Yes
GCA_000211815.1_ASM21181v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Cyanobacteriales_f_Coleofasciculaceae_g_Moorea_Moorea_producens_C_3L_#_GCA_000211815.1	NA	241	224	96.02	7.57	211	Yes
GCA_000218705.1_HNLC1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_marinus_bv._HNLC1_Prochlorococcus_A_marinus_Q_#_GCA_000218705.1	NA	235	224	93.63	4.78	209	Yes
GCA_000218745.1_HNLC2_genomic_prodigal_proteins	c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_marinus_bv._HNLC2_Prochlorococcus_A_marinus_T_#_GCA_000218745.1	NA	234	220	93.23	5.98	207	Yes
GCA_000230675.2_ASM23067v1_genomic_prodigal_proteins	Pseudosynechococcus_sudipacificus_WH_8016_#_GCA_000230675.2	NA	244	242	97.21	0.80	235	Yes
GCA_000270265.1_ASM27026v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Cyanobacteriales_f_Microcystaceae_g_Synechocystis_Synechocystis_sp000284455_GT-S_#_GCA_000270265.1	NA	246	246	98.01	0.00	239	Yes
GCA_000284135.1_ASM28413v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Cyanobacteriales_f_Microcystaceae_g_Synechocystis_Synechocystis_sp._PCC_6803_substr._GT-I_Synechocystis_sp000284455_#_GCA_000284135.1	NA	246	246	98.01	0.00	239	Yes
GCA_000284215.1_ASM28421v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Cyanobacteriales_f_Microcystaceae_g_Synechocystis_Synechocystis_sp._PCC_6803_substr._PCC-N_Synechocystis_sp000284455_#_GCA_000284215.1	NA	246	246	98.01	0.00	239	Yes
GCA_000284455.1_ASM28445v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Cyanobacteriales_f_Microcystaceae_g_Synechocystis_Synechocystis_sp._PCC_6803_substr._PCC-P_Synechocystis_sp000284455_#_GCA_000284455.1	NA	246	246	98.01	0.00	239	Yes
GCA_000291805.1_ProW7_v1.0_genomic_prodigal_proteins	c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_sp._W7_Prochlorococcus_A_marinus_T_#_GCA_000291805.1	NA	144	141	57.37	1.20	129	Yes
GCA_000291825.1_ProW8_v1.0_genomic_prodigal_proteins	c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_sp._W8_Prochlorococcus_A_sp000291825_#_GCA_000291825.1	NA	158	155	62.95	1.20	147	Yes
GCA_000291885.1_ProW2_v1.0_genomic_prodigal_proteins	c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_sp._W2_Prochlorococcus_A_marinus_Q_#_GCA_000291885.1	NA	195	191	77.69	1.59	177	Yes
GCA_000297435.1_ASM29743v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Cyanobacteriales_f_Microcystaceae_g_Microcystis_Microcystis_sp000297435_T1-4_#_GCA_000297435.1	NA	244	242	97.21	0.80	235	Yes
GCA_000300115.1_Fremyella_diplosiphon-2.0.1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Cyanobacteriales_f_Nostocaceae_g_Aulosira_Aulosira_diplosiphon_UTEX_B_481_#_GCA_000300115.1	NA	243	238	96.81	1.99	229	Yes
GCA_000307915.1_ASM30791v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Cyanobacteriales_f_Phormidiaceae_g_Arthrospira_Arthrospira_maxima_C1_#_GCA_000307915.1	NA	242	241	96.41	0.40	231	Yes
GCA_000309385.1_ASM30938v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Phormidesmiales_f_Phormidesmiaceae_g_Nodosilinea_Nodosilinea_nodulosa_PCC_7104_#_GCA_000309385.1	NA	246	238	98.01	3.59	228	Yes
GCA_000309945.1_ASM30994v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Leptolyngbyales_f_Leptolyngbyaceae_g_JSC-12_JSC-12_sp000309945_JSC-12_#_GCA_000309945.1	NA	245	240	97.61	2.79	231	Yes
GCA_000312165.1_ASM31216v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Cyanobacteriales_f_Microcystaceae_g_Microcystis_Microcystis_aeruginosa_B_PCC_9717_#_GCA_000312165.1	NA	246	242	98.01	1.59	235	Yes
GCA_000312185.1_ASM31218v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Cyanobacteriales_f_Microcystaceae_g_Microcystis_Microcystis_panniformis_PCC_9443_#_GCA_000312185.1	NA	245	239	97.61	2.39	233	Yes
GCA_000312205.1_ASM31220v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Cyanobacteriales_f_Microcystaceae_g_Microcystis_Microcystis_aeruginosa_A_7941_#_GCA_000312205.1	NA	246	244	98.01	0.80	238	Yes
GCA_000312225.1_ASM31222v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Cyanobacteriales_f_Microcystaceae_g_Microcystis_Microcystis_panniformis_PCC_9807_#_GCA_000312225.1	NA	244	236	97.21	3.59	229	Yes
GCA_000312245.1_ASM31224v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Cyanobacteriales_f_Microcystaceae_g_Microcystis_Microcystis_aeruginosa_A_PCC_9808_#_GCA_000312245.1	NA	246	244	98.01	1.20	238	Yes
GCA_000312265.1_ASM31226v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Cyanobacteriales_f_Microcystaceae_g_Microcystis_Microcystis_aeruginosa_B_PCC_9809_#_GCA_000312265.1	NA	247	240	98.41	2.79	232	Yes
GCA_000312285.1_ASM31228v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Cyanobacteriales_f_Microcystaceae_g_Microcystis_Microcystis_aeruginosa_C_PCC_9701_#_GCA_000312285.1	NA	246	244	98.01	0.80	237	Yes
GCA_000312705.1_ASM31270v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Cyanobacteriales_f_Nostocaceae_g_LE011-02_LE011-02_sp000312705_90_#_GCA_000312705.1	NA	240	237	95.62	1.20	229	Yes
GCA_000312725.1_ASM31272v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Cyanobacteriales_f_Microcystaceae_g_Microcystis_Microcystis_sp000297435_PCC_9806_#_GCA_000312725.1	NA	245	244	97.61	0.40	238	Yes
GCA_000314005.1_ASM31400v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Cyanobacteriales_f_Spirulinaceae_g_Spirulina_Spirulina_subsalsa_PCC_9445_#_GCA_000314005.1	NA	245	240	97.61	1.99	229	Yes
GCA_000315565.1_ASM31556v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Cyanobacteriales_f_Nostocaceae_g_Mastigocladopsis_Mastigocladopsis_repens_PCC_10914_#_GCA_000315565.1	NA	244	241	97.21	1.20	230	Yes
GCA_000315585.1_ASM31558v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Cyanobacteriales_f_Nostocaceae_g_Fischerella_Fischerella_laminosus_PCC_9339_#_GCA_000315585.1	NA	247	238	98.41	3.98	227	Yes
GCA_000316115.1_ASM31611v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Phormidesmiales_f_Phormidesmiaceae_g_PCC-7375_PCC-7375_sp000316115_PCC_7375_#_GCA_000316115.1	NA	244	235	97.21	3.59	227	Yes
GCA_000316515.1_ASM31651v1_genomic_prodigal_proteins	Cyanobium_gracile_PCC_6307_#_GCA_000316515.1	NA	250	250	99.60	0.00	242	Yes
GCA_000316575.1_ASM31657v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Cyanobacteriales_f_Nostocaceae_g_PCC-7507_PCC-7507_sp000316575_PCC_7507_#_GCA_000316575.1	NA	244	239	97.21	1.99	231	Yes
GCA_000316605.1_ASM31660v1_genomic_prodigal_proteins	Limnothrix_sp._PCC_7376_#_GCA_000316605.1	NA	237	233	94.42	1.59	227	Yes
GCA_000316625.1_ASM31662v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Cyanobacteriales_f_Nostocaceae_g_Anabaenopsis_Anabaenopsis_sp000316625_PCC_7107_#_GCA_000316625.1	NA	244	243	97.21	0.40	236	Yes
GCA_000316645.1_ASM31664v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Cyanobacteriales_f_Nostocaceae_g_Trichormus_Trichormus_sp000316645_PCC_7524_#_GCA_000316645.1	NA	246	243	98.01	1.20	235	Yes
GCA_000316665.1_ASM31666v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Cyanobacteriales_f_Nostocaceae_g_Rivularia_Rivularia_sp000316665_PCC_7116_#_GCA_000316665.1	NA	248	239	98.80	3.59	229	Yes
GCA_000316685.1_ASM31668v1_genomic_prodigal_proteins	Stenotopis_californii_PCC_6312_#_GCA_000316685.1	NA	246	246	98.01	0.00	236	Yes
GCA_000317025.1_ASM31702v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Cyanobacteriales_f_Microcystaceae_g_Hydrococcus_Hydrococcus_minor_PCC_7327_#_GCA_000317025.1	NA	246	239	98.01	2.79	229	Yes
GCA_000317065.1_ASM31706v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Pseudanabaenales_f_Pseudanabaenaceae_g_PCC-7367_PCC-7367_sp000317065_PCC_7367_#_GCA_000317065.1	NA	237	231	94.42	2.39	212	Yes
GCA_000317085.1_ASM31708v1_genomic_prodigal_proteins	Leptovivax_bogii_PCC_7502_#_GCA_000317085.1	NA	241	236	96.02	2.39	226	Yes
GCA_000317105.1_ASM31710v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Cyanobacteriales_f_Oscillatoriaceae_g_Oscillatoria_Oscillatoria_acuminata_PCC_6304_#_GCA_000317105.1	NA	248	245	98.80	1.20	231	Yes
GCA_000317125.1_ASM31712v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Cyanobacteriales_f_Chroococcidiopsidaceae_g_Chroococcidiopsis_Chroococcidiopsis_thermalis_PCC_7203_#_GCA_000317125.1	NA	247	241	98.41	2.79	227	Yes
GCA_000317145.1_ASM31714v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Cyanobacteriales_f_Chamaesiphonaceae_g_Chamaesiphon_Chamaesiphon_minutus_PCC_6605_#_GCA_000317145.1	NA	243	235	96.81	3.19	223	Yes
GCA_000317205.1_FisPCC7414_1.0_genomic_prodigal_proteins	c_Cyanobacteriia_o_Cyanobacteriales_f_Nostocaceae_g_Fischerella_Fischerella_muscicola_B_PCC_7414_#_GCA_000317205.1	NA	244	235	97.21	3.59	224	Yes
GCA_000317225.1_FisPCC7521_1.0_genomic_prodigal_proteins	c_Cyanobacteriia_o_Cyanobacteriales_f_Nostocaceae_g_Fischerella_Fischerella_thermalis_PCC_7521_#_GCA_000317225.1	NA	246	241	98.01	1.99	232	Yes
GCA_000317245.1_FisPCC73103_1.0_genomic_prodigal_proteins	c_Cyanobacteriia_o_Cyanobacteriales_f_Nostocaceae_g_Fischerella_Fischerella_muscicola_A_SAG_1427-1_=_PCC_73103_#_GCA_000317245.1	NA	247	236	98.41	4.38	227	Yes
GCA_000317265.1_ChlPCC9212_1.0_genomic_prodigal_proteins	c_Cyanobacteriia_o_Cyanobacteriales_f_Nostocaceae_g_Chlorogloeopsis_Chlorogloeopsis_fritschii_PCC_9212_#_GCA_000317265.1	NA	244	232	97.21	5.18	223	Yes
GCA_000317285.1_ChlPCC6912_1.0_genomic_prodigal_proteins	c_Cyanobacteriia_o_Cyanobacteriales_f_Nostocaceae_g_Chlorogloeopsis_Chlorogloeopsis_fritschii_PCC_6912_#_GCA_000317285.1	NA	244	232	97.21	5.18	223	Yes
GCA_000317435.1_ASM31743v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Cyanobacteriales_f_Nostocaceae_g_Calothrix_Calothrix_parietina_PCC_6303_#_GCA_000317435.1	NA	246	244	98.01	0.80	234	Yes
GCA_000317475.1_ASM31747v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Cyanobacteriales_f_Phormidiaceae_g_Microcoleus_Microcoleus_nigroviridis_PCC_7112_#_GCA_000317475.1	NA	246	242	98.01	1.59	231	Yes
GCA_000317495.1_ASM31749v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Cyanobacteriales_f_Chamaesiphonaceae_g_Crinalium_Crinalium_epipsammum_PCC_9333_#_GCA_000317495.1	NA	244	242	97.21	0.80	233	Yes
GCA_000317515.1_ASM31751v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Cyanobacteriales_f_Coleofasciculaceae_g_Coleofasciculus_Coleofasciculus_sp000317515_PCC_7113_#_GCA_000317515.1	NA	245	237	97.61	3.59	222	Yes
GCA_000317535.1_ASM31753v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Cyanobacteriales_f_Nostocaceae_g_Cylindrospermum_Cylindrospermum_stagnale_PCC_7417_#_GCA_000317535.1	NA	244	237	97.21	3.19	226	Yes
